gene	protein_class	molecular_action	key_substrates	subcellular	tissues	cell_types	pathways	ko_phenotype	ko_severity	neural_phenotype	cerebellar_evidence	cancer_types	cancer_role	neuro_disease	differentiation_role	one_line_summary
Adcy8	enzyme	Adenylyl cyclase; catalyzes cAMP synthesis; activated by calcium entry; regulates LTP/LTD and insulin secretion	ATP → cAMP; CREB	plasma membrane	brain (hippocampus, cortex); pancreas; pituitary	neurons; beta cells; adipocytes	cAMP/PKA/CREB signaling; calcium signaling; synaptic plasticity (LTP/LTD); insulin secretion; GLP-1 signaling	decreased anxiety; decreased body size; absent long-term depression; decreased brain enzyme activity; increased pain threshold; abnormal corticosterone	moderate	absent LTD; decreased anxiety; decreased body size; impaired pain processing	Staggerer (RORa) mice show disrupted barrel cortex; Adcy8 involved in barrel development and somatosensory maps; H3K27me3-marked late differentiation gene	NA	NA	alcohol dependence; depression (comorbid); schizophrenia (association)	Required for brain LTD and cAMP-dependent plasticity during synaptic maturation; involved in insulin secretion from pancreatic beta cells	Ca2+-stimulated adenylyl cyclase that generates cAMP for CREB-dependent synaptic plasticity, LTD, and insulin secretion
Syngr1	other	Synaptic vesicle membrane protein; regulates short- and long-term synaptic plasticity; modulates synaptophysin localization into synaptic-like microvesicles	Synaptophysin (SYP); synaptic vesicles	synaptic vesicle membrane	brain (abundant); lymphoid tissues	neurons (presynaptic); lymphocytes	Regulated exocytosis; synaptic plasticity; vesicle biogenesis	impaired synaptic plasticity; decreased post-tetanic potentiation; abnormal lymph nodes/spleen/thymus; enlarged lymphoid organs	moderate	impaired synaptic plasticity; decreased post-tetanic potentiation	Cerebellar circadian oscillations; SYNGR3 (homolog) regulates dopaminergic transmission; H3K27me3-marked differentiation gene	GBM (screen)	NA	Parkinson's disease (SYNGR3 homolog; dopamine transporter); rheumatoid arthritis (GWAS screen)	Required for synaptic plasticity and synaptophysin vesicle targeting; expressed in mature synapses	Synaptic vesicle membrane protein that modulates synaptophysin localization and regulates short- and long-term synaptic plasticity
Ache	enzyme	Acetylcholinesterase; hydrolyzes acetylcholine in synaptic cleft; terminates cholinergic neurotransmission	Acetylcholine → choline + acetate	synaptic cleft; neuromuscular junction; cell surface	brain; neuromuscular junction; blood; intestine	neurons; muscle; erythrocytes; intestinal epithelium	Cholinergic neurotransmission; neuromuscular junction; non-canonical roles in cell differentiation and proliferation	abnormal posture; tremors; decreased body weight; impaired righting; circling; postnatal lethality; muscle weakness; premature death; abnormal brain morphology	lethal/severe	abnormal cerebral hemisphere morphology; postnatal lethality (complete penetrance); circling; tremors; impaired righting	ChAT-immunoreactive fibers and cholinergic receptors characterized in cerebellum (rat/rabbit/cat/monkey); AChE expressed during cerebellar development	basal cell carcinoma (neuroendocrine diff.); intestinal cancer (Caco-2 differentiation model)	AChE activity increases during intestinal epithelial differentiation; AChE knockdown blocks differentiation	Alzheimer's disease (therapeutic target); organophosphate neurotoxicity; cholinergic neurodegeneration	AChE activity increases during neuronal and intestinal differentiation; promotes cell cycle exit; non-enzymatic roles in development	Cholinesterase that terminates synaptic acetylcholine signaling and has non-enzymatic roles promoting neuronal and epithelial differentiation
Tnfrsf12a	receptor	TNF receptor for TWEAK; weak apoptosis inducer; promotes angiogenesis and endothelial proliferation; modulates cell-matrix adhesion	TNFSF12/TWEAK	plasma membrane	liver; lung; blood vessels; cartilage; adipose; multiple tissues	endothelial cells; hepatic oval cells; fibroblasts; macrophages	NF-kB signaling; TNF receptor signaling; apoptosis; angiogenesis	abnormal chemokine secretion; abnormal oval cell physiology	mild	NA	NA	thyroid cancer (PTC); liver cancer; glioma (TME screens); head and neck squamous cell carcinoma	expressed in tumor microenvironment; modulates immune and stromal cell interactions	NA	NA	TNF superfamily receptor for TWEAK that promotes endothelial cell proliferation, angiogenesis, and modulates hepatic progenitor (oval) cell biology
Nrxn1	adhesion molecule	Trans-synaptic cell adhesion; binds neuroligins and cerebellins; organizes synaptic junctions; regulates NMDA and AMPA receptor activity via Cbln-GluD complexes	Neuroligins; Cerebellins (CBLN1-4); GRID1/GluD1; GRID2/GluD2	presynaptic membrane; cell surface	brain (ubiquitous); hippocampus; cerebellum	neurons (presynaptic)	Trans-synaptic signaling; synapse formation and maturation; NMDAR/AMPAR regulation; ASD/neurodevelopmental risk pathways	decreased synaptic glutamate release; abnormal brain physiology; increased grooming; decreased prepulse inhibition; tremors; abnormal motor learning; abnormal miniature EPSCs	moderate	decreased synaptic glutamate release; abnormal brain physiology; tremors; stereotyped behaviors; decreased prepulse inhibition; abnormal motor learning	Neurexin-Cbln1-GluD2 complex organizes cerebellar parallel fiber synapses; Nrxn1-Cbln2-GluD1 regulates hippocampal synapse activity	glioma (neuronal diff. signature, prognostic)	neuron-like tumor differentiation improves glioma prognosis	autism spectrum disorder; schizophrenia; intellectual disability (CNVs/deletions)	Splice variants regulate synapse specificity; alternative splicing shapes synaptic differentiation programs	Presynaptic cell adhesion molecule that organizes synapse identity through trans-synaptic neurexin-cerebellin-GluD complexes and is a major ASD/schizophrenia risk gene
Syt7	other	Ca2+ sensor for exocytosis; Ca2+-dependent phospholipid binding (C2 domain); regulates asynchronous neurotransmitter release; lysosomal exocytosis; plasma membrane repair; cholesterol transport	SNARE complexes; phospholipid membranes; lysosomal membranes	synaptic vesicle/lysosomal membrane; plasma membrane	brain; immune cells; muscle; bone; pancreas	neurons; macrophages; cytotoxic T lymphocytes; osteoclasts; osteoblasts; pancreatic beta cells	Ca2+-triggered exocytosis; asynchronous neurotransmitter release; lysosome-plasma membrane fusion; membrane repair; bone remodeling; insulin secretion	abnormal fertility; increased inflammatory response; skeletal muscle fibrosis; myositis; autoimmune disorder susceptibility; decreased phosphate	moderate	no direct CNS KO phenotype listed; involved in asynchronous neurotransmitter release at synapses; facilitates synaptic facilitation via residual Ca2+	Expressed in brain; participates in asynchronous neurotransmitter release and synaptic facilitation in CNS neurons	non-small cell lung carcinoma; head and neck squamous cell carcinoma	dysregulated in several cancers; associated with poor prognosis	myositis; autoimmune disorders	Mediates Ca2+-triggered fusion events during synaptic development; role in insulin vesicle secretion in pancreatic beta cells	High-affinity Ca2+ sensor synaptotagmin that drives asynchronous neurotransmitter release, lysosomal exocytosis/membrane repair, and regulates synaptic facilitation
Nptx1	secreted factor	Secreted neuronal pentraxin; mediates synaptic AMPA receptor clustering at excitatory synapses; possibly involved in synapse remodeling and clearance of synaptic material	AMPA receptors	extracellular; synaptic cleft	brain (cerebellum, hippocampus, cortex)	neurons	Excitatory synapse organization; AMPAR clustering; synapse remodeling	abnormal innervation	mild	abnormal innervation	NPTX1 mutations cause SCA50 (spinocerebellar ataxia); expressed in cerebellum; osteogenic differentiation studies in hBMSCs	thymoma (diagnostic marker)	expressed in thymoma	Parkinson's disease (hippocampal proteomics); HDAC3-dependent neurodegeneration pathway; spinocerebellar ataxia type 50 (SCA50)	NPTX1 regulates osteogenic differentiation of mesenchymal stem cells; role in synaptic maturation	Secreted neuronal pentraxin that clusters AMPA receptors at excitatory synapses and whose mutations cause cerebellar ataxia (SCA50)
Prkar1b	other	Regulatory subunit of PKA (cAMP-dependent protein kinase); inhibits catalytic subunit until cAMP binding; controls cAMP/PKA signaling in neurons	PKA catalytic subunit; cAMP	cytoplasm; plasma membrane	brain (neuronal enriched); adrenal cortex	neurons; neuroendocrine cells	cAMP/PKA signaling; CREB; LTP/LTD; hormone signaling	reduced LTD; reduced LTP; decreased inflammatory response; increased thermal pain threshold; abnormal nociception after inflammation	mild-moderate	reduced LTD and LTP; abnormal nociception	Neural isoform of PKA regulatory subunit; KO shows reduced LTP in Schaffer collateral pathway; L50R variant causes neurodegeneration with protein aggregation	GBM (alternative splicing screen, prognostic)	NA	intellectual disability; autism spectrum disorder (PRKAR1B missense variants); novel neurodegenerative disease (L50R variant)	PKA regulatory subunit that controls neuronal cAMP signaling during synaptic maturation; EZH2 controls adrenal cortex differentiation via PKA pathway	Neuron-enriched PKA regulatory subunit that tunes cAMP/CREB signaling for synaptic plasticity; loss-of-function mutations cause intellectual disability and ASD
Ptprn	phosphatase	Receptor-type protein tyrosine phosphatase (catalytically inactive); regulates vesicle biogenesis and secretion; required for insulin granule accumulation and insulin secretion; regulates neurotransmitter accumulation in brain	Insulin secretory granules; PTPRA (indirect); CASK; renin	secretory vesicle membrane; dense-core vesicles	pancreatic islets; brain (hippocampus, pituitary); neuroendocrine cells	pancreatic beta cells; neurons; pituitary endocrine cells	Insulin secretion (glucose-stimulated); dense-core vesicle biogenesis; neuroendocrine secretion; renin regulation	insulitis; increased susceptibility to autoimmune diabetes; impaired glucose tolerance	moderate	Regulates intrinsic neuronal plasticity; required for normal neurotransmitter (dopamine, serotonin, norepinephrine) levels in brain	Expressed in brain; regulates dopamine/serotonin/norepinephrine levels; required for normal hippocampal vesicle accumulation; modulates intrinsic neuronal plasticity	GBM (screen)	NA	type 1 diabetes (autoantigen ICA512/IA-2); autoimmune diabetes	Required for insulin secretory granule biogenesis and accumulation; regulates neuroendocrine vesicle secretion during differentiation	Catalytically inactive receptor tyrosine phosphatase that is essential for insulin secretory granule biogenesis and is the major type 1 diabetes autoantigen (ICA512/IA-2)
Tnn	ECM protein	Extracellular matrix ligand for integrins (ITGA8:ITGB1, ITGAV:ITGB1, ITGA4:ITGB1); promotes neurite outgrowth and cell migration; inhibits chondrocyte differentiation via WNT signaling; stimulates angiogenesis	ITGA8:ITGB1; ITGAV:ITGB1; WNT signaling components	extracellular matrix	brain (hippocampus); bone/cartilage; breast; lung	neurons; chondrocytes; endothelial cells; breast cancer cells	Integrin signaling; WNT signaling; ECM-cell adhesion; angiogenesis; cell migration	premature death; abnormal tooth/mandible/dentin/enamel development; abnormal periodontal ligament; decreased body weight; decreased food intake	severe (dental/craniofacial)	NA	Promotes neurite outgrowth and hippocampal cell migration; H3K27me3-unmarked mid-timing gene	breast carcinoma; lung cancer (non-small cell, diagnostic marker co-expression)	supports breast cancer cell migration and tumorigenesis; angiogenesis stimulator in tumors	NA	During endochondral bone formation inhibits chondrocyte differentiation via WNT suppression; facilitates neural cell migration during hippocampal development	ECM glycoprotein that promotes neurite outgrowth and cell migration in the hippocampus and inhibits WNT-dependent chondrocyte differentiation during endochondral ossification
Acvr1c	kinase	TGF-beta type I receptor serine/threonine kinase; upon ligand binding phosphorylates SMAD2/SMAD3; receptor for activin AB, activin B, activin E, and NODAL	SMAD2; SMAD3	plasma membrane; endosome	hypothalamus; pancreas; adipose; brain; pituitary	neurons (hypothalamus); pancreatic beta cells; adipocytes; trophoblasts; macrophages	TGF-beta/activin/NODAL signaling; SMAD2/3 pathway; AKT suppression; macrophage activation; energy homeostasis	no abnormal phenotype detected; decreased locomotor activity; increased heart weight; decreased total body fat	mild	decreased locomotor activity	Expressed in hypothalamus and pituitary neurons; role in energy balance regulation via leptin signaling; H3K27me3-marked mid-timing gene	B-cell ALL (ETV6-RUNX1 subtype, screens)	NA	NA	Regulates pancreatic beta cell apoptosis/proliferation via NODAL; controls adipogenesis and energy homeostasis; implicated in epidermal lipogenesis regulation	TGF-beta/activin type I receptor (ALK7) that activates SMAD2/3 signaling to control energy homeostasis, beta cell apoptosis, and macrophage activation
Itpka	kinase	Inositol-1,4,5-trisphosphate 3-kinase; phosphorylates InsP3 to InsP(1,3,4,5)P4; regulates calcium homeostasis; bundles F-actin; regulates actin dynamics in dendritic spines	Ins(1,4,5)P3 → Ins(1,3,4,5)P4; F-actin	dendritic spines; cytoplasm	brain (dendritic spines enriched); other tissues	neurons	Inositol phosphate signaling; calcium homeostasis; actin dynamics; synaptic plasticity	enhanced LTP	mild	enhanced LTP (KO)	Accumulates in dendritic spines; regulates both InsP3 phosphorylation and F-actin bundling for synaptic plasticity; H3K27me3-marked mid-timing gene	renal clear cell carcinoma; oral squamous cell carcinoma (proteomics); Huntington's disease	expressed in cancer proteomics screens	Huntington disease; spinocerebellar ataxia type 2 (ATXN2 pathway)	InsP3 phosphorylation and actin bundling in dendritic spines regulate synaptic plasticity during neuronal maturation	Dual-function inositol trisphosphate kinase and F-actin bundler in dendritic spines that regulates calcium homeostasis and synaptic plasticity
Sh3gl2	scaffold/adaptor	Endophilin-A1; membrane-sensing BAR domain protein; mediates synaptic vesicle endocytosis; required for BDNF-NTRK2 endocytic trafficking and signaling from early endosomes; recruits other proteins to curved membranes	Synaptic vesicles; BDNF-NTRK2 complex; AP-2 complex	endosome; plasma membrane (curved regions)	brain; epithelium	neurons; epithelial cells	Synaptic vesicle endocytosis; BDNF-TrkB signaling; dendrite outgrowth; clathrin-mediated endocytosis	no abnormal phenotype detected; decreased exploration; decreased bone mineral density; decreased grip strength	mild	NA	Identified in medulloblastoma DEG screens; downregulated in pediatric medulloblastoma	breast cancer; vulvar squamous cell carcinoma; medulloblastoma; lung adenocarcinoma	methylation-silenced in triple-negative breast cancer and vulvar SCC; downregulated in medulloblastoma (tumor suppressor-like)	Parkinson's disease (LRRK2 substrate network); schizophrenia/bipolar disorder (GWAS); Alzheimer's disease (screens)	Required for BDNF-dependent dendrite outgrowth via NTRK2 endocytic trafficking	Endophilin-A1 BAR domain protein that mediates synaptic vesicle endocytosis and BDNF-TrkB endosomal signaling for dendrite development; silenced by methylation in several cancers
Dab1	scaffold/adaptor	Reelin signaling adapter; docks phosphotyrosine-binding proteins via PID domain; transduces RELN signal for neuronal migration and lamination; phosphorylated by SRC-family kinases	SRC; FYN; RELN receptors (APOER2, VLDLR); integrin alpha3	cytoplasm; cell membrane	brain (cortex, hippocampus, cerebellum)	neurons (postmitotic migrating neurons); granule cells; Cajal-Retzius cells	Reelin-DAB1 signaling; SRC/FYN kinase; neuronal migration; cortical lamination; integrin signaling	abnormal cortical marginal zone; abnormal cerebral cortex; premature death; ataxia; absent cerebellar foliation; small cerebellum; abnormal cerebellar granule layer; abnormal Purkinje cell layer; abnormal hippocampus	lethal/severe	ataxia; absent cerebellar foliation; small cerebellum; abnormal cerebellar granule layer and Purkinje cell layer; abnormal hippocampus; cortical layering defects	DAB1 KO has reeler-like phenotype: absent cerebellar foliation, abnormal cerebellar granule layer, abnormal Purkinje cell layer; DAB1 is SCA37 gene; medulloblastoma metastasis via SMARCD3-DAB1 epigenomic program	medulloblastoma (metastasis driver)	SMARCD3-DAB1 epigenomic program hijacked for MB metastatic dissemination (functional study)	autism spectrum disorder (Reelin pathway); spinocerebellar ataxia type 37 (SCA37); cortical malformations	Dab1 phosphorylation is required for timely detachment of migrating neurons from radial glia; required for cerebellar foliation and granule cell layer formation	Core Reelin signaling adaptor that is phosphorylated by Src/Fyn kinases to direct neuronal migration and cerebellar foliation; DAB1 axis is hijacked in medulloblastoma metastasis
Rnf6	ubiquitin ligase	E3 ubiquitin-protein ligase; mediates Lys-48-linked polyubiquitination of LIMK1 (targeting to proteasome); mediates Lys-6/Lys-27 polyubiquitination of androgen receptor; polyubiquitinates QKI in macrophages; may function as transcriptional regulator	LIMK1; AR (androgen receptor); QKI; STAT3 (indirect)	nucleus; cytoplasm	testis; brain; prostate; macrophages	neurons; Sertoli cells; macrophages; prostate cancer cells	Ubiquitin-proteasome system; axon outgrowth (LIMK1 degradation); androgen receptor signaling; STAT3 signaling; macrophage polarization	NA (not reported in source)	NA	Negatively regulates axonal outgrowth through LIMK1 turnover; expressed in brain	NA	prostate cancer (AR ubiquitination, oncogenic role); oral squamous cell carcinoma (prognostic screen)	Promotes AR activity in prostate cancer; RNF6-STAT3 axis in traumatic brain injury neuroinflammation	traumatic brain injury (STAT3 neuroinflammation)	Rnf6 expression in Sertoli cells regulated by testis-specific transcription factors; role in tissue-specific differentiation via AR ubiquitination	E3 ubiquitin ligase that limits axon outgrowth by targeting LIMK1 for proteasomal degradation and modulates androgen receptor transcriptional activity
Plxna1	receptor	Coreceptor for class-3 semaphorins (SEMA3A, SEMA3C, SEMA3F) and SEMA6D; cytoplasmic domain activates downstream signaling for cytoskeletal remodeling; coreceptor for TREM2 in dendritic cells	SEMA3A; SEMA3C; SEMA3F; SEMA6D; Neuropilins; TREM2	plasma membrane	brain; immune system (dendritic cells); bone; lymphatic vessels	neurons; dendritic cells; oligodendrocytes; lymphatic endothelial cells	Semaphorin-plexin signaling; axon guidance; cell migration; TREM2 signaling; bone homeostasis	abnormal dendritic cell physiology; abnormal T cell physiology; increased trabecular bone mass; abnormal oligodendrocyte morphology; abnormal lymphatic vessel morphology	moderate	abnormal oligodendrocyte morphology; PLXNA1 variants associated with neurodevelopmental disorders	Sema3A/Nrp1/PlexinA1 signaling in glioblastoma brain tumor stem cells; expressed in neural progenitors; PLXNA1 biallelic variants cause neurodevelopmental syndromes	GBM (Sema3A-Nrp1-Plxna1 axis inhibits stem cell proliferation)	Sema3A via Nrp1/PlexinA1 inhibits GBM stem cell proliferation and drives invasion	neurodevelopmental disorders (biallelic PLXNA1 variants)	Plexin-A1 expressed in neural progenitors; regulates progenitor cell position in niche; oligodendrocyte morphology	Semaphorin coreceptor that transduces axon guidance and cell migration signals; biallelic variants cause neurodevelopmental disease; expressed in oligodendrocytes and neural progenitors
Cntn6	adhesion molecule	Cell adhesion; NOTCH1 ligand promoting oligodendrocyte generation; involved in motor coordination	NOTCH1; homophilic binding partners	plasma membrane; cell surface	brain (olfactory bulb, cortex, cerebellum, accessory olfactory system)	neurons; oligodendrocytes; neural cells broadly	Notch signaling; cell adhesion (IgSF); oligodendrocyte differentiation; neural recognition	impaired coordination; abnormal cortical pyramidal cell morphology	mild-moderate	impaired motor coordination; abnormal cortical pyramidal cell morphology	CNTN6-deficient mice show impaired vomeronasal/accessory olfactory system function; expressed in cerebellar vermis; reeler heterozygous study implicates cerebellar CNTN6	neurodevelopmental disorders (intellectual disability via 3p26.3 CNVs)	NA	autism spectrum disorder; intellectual disability; neurodevelopmental delay (CNTN6 CNVs at 3p26.3); Parkinson's disease (modifier)	Acts as NOTCH1 ligand to promote oligodendroglial differentiation; expressed in neural recognition contexts during development	Neural adhesion molecule of the IgSF/contactin family that acts as a NOTCH1 ligand promoting oligodendrogenesis; copy number variants at CNTN6 locus cause intellectual disability and ASD
Syt3	other	Ca2+ sensor for exocytosis; Ca2+-dependent phospholipid binding (C2 domains); participates in secretory vesicle exocytosis; role in melanocyte dendrite formation	SNARE complexes; phospholipid membranes	vesicle/plasma membrane	brain; melanocytes; adipocytes; gonads	neurons; melanocytes; adipocytes	Ca2+-triggered exocytosis; asynchronous neurotransmitter release; vesicle fusion; SNARE assembly	NA (not reported specifically for Syt3 KO)	NA	Contributes to asynchronous release (with Syt7); chronic pain/anxiety model implicates neuronal autophagy pathway; H3K27me3-marked mid-timing gene	NA	NA	NA	NA	Syt3 participates in exocytosis during adipocyte differentiation (E-Syt3 cleavage in differentiating adipocytes); role in vesicle-mediated secretion during neuronal maturation	Ca2+-sensor synaptotagmin involved in slow asynchronous exocytosis and secretory vesicle fusion; expressed in neurons and contributes to synaptic vesicle cycle during differentiation
