"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"2610028H24Rik","scaffold/adaptor","STAT3 signaling adaptor (forms ternary complex)","STAT3, N-terminal kinase","cytoplasm, nucleus","liver, ubiquitous","hepatocytes, cancer cells","STAT3 signaling, tumorigenesis","NA","NA","NA","NA","hepatocellular carcinoma, neuroblastoma, breast cancer","oncogenic (activates STAT3; promotes sorafenib resistance in HCC)","NA","NA","Human ortholog C21orf58 is an adaptor protein that activates STAT3 signaling by forming a ternary complex; overexpressed and oncogenic in hepatocellular carcinoma."
"3110057O12Rik","enzyme","phospholipid deacylase (cardiolipin remodeling)","cardiolipin (CL)","inner mitochondrial membrane","ubiquitous","NA","cardiolipin biosynthesis, mitochondrial lipid metabolism, oxidative phosphorylation","NA","NA","NA","NA","NA","NA","NA","NA","Human ortholog ABHD18 is a mitochondrial alpha/beta-hydrolase that cleaves nascent cardiolipin to generate monolysocardiolipin as a key step in cardiolipin remodeling."
"3230401D17Rik","other","NA (antisense lncRNA, likely cis-regulatory)","NA","nucleus","lung, liver","NA","tumor suppression, EGFR resistance","NA","NA","NA","NA","lung cancer, hepatocellular carcinoma, NSCLC","tumor suppressor (OSER1-AS1: downregulated in lung/HCC; promotes gefitinib resistance when upregulated)","NA","NA","Mouse Riken gene corresponding to the human lncRNA locus OSER1-AS1; OSER1-AS1 acts as a tumor suppressor in lung cancer and modulates EGFR-targeted therapy resistance."
"4833420G17Rik","other","NA","NA","NA","ubiquitous","NA","immune regulation, tumor microenvironment, STAT3 signaling","NA","NA","NA","NA","lung adenocarcinoma, hepatocellular carcinoma, endometrial carcinoma, cholangiocarcinoma","oncogenic (overexpressed, promotes proliferation; immunosuppressive in tumor microenvironment)","NA","NA","Human ortholog C5orf34 is an evolutionarily conserved protein of unknown function that is overexpressed across multiple cancer types and associated with poor prognosis and immune evasion."
"4933421E11Rik","scaffold/adaptor","heterochromatin maintenance, HP1alpha anchoring at centromeres during mitosis","HP1alpha (CBX5), SMCHD1","nucleus, centromere","ubiquitous","NA","heterochromatin organization, centromere integrity, D4Z4 repeat silencing","NA","NA","NA","NA","B-CLL (chromosomal instability context)","NA","FSHD2 (facioscapulohumeral muscular dystrophy type 2)","NA","Human ortholog LRIF1 is a PXVXL-motif heterochromatin protein that anchors HP1alpha at centromeres during mitosis and cooperates with SMCHD1 to silence the D4Z4 repeat; germline LOF causes FSHD2."
"6430527G18Rik","transcription factor","transcriptional repression/activation; ubiquitin-mediated proteolysis; SUMO-regulated transcriptional switching","WNT target genes; EGFR-stimulated transcriptional coregulators","nucleus","brain, ubiquitous","neurons, osteosarcoma cells","WNT signaling, EGFR/SUMO signaling, ubiquitin pathway","NEDAMSS (neurodevelopmental disorder with regression, abnormal movements, loss of speech, seizures) from heterozygous LOF","severe","developmental regression, seizures, dystonia, loss of speech, progressive neurodegeneration","NA","osteosarcoma, esophageal squamous cell carcinoma","oncogenic (IRF2BPL promotes malignant phenotypes in ESCC as transcriptional activator)","NEDAMSS, neurodevelopmental/neurodegenerative disorder","NA","Human ortholog IRF2BPL is a zinc-finger transcriptional regulator that suppresses WNT signaling in neurons; heterozygous loss-of-function causes NEDAMSS, a severe neurodevelopmental regression syndrome."
"9830001H06Rik","scaffold/adaptor","microtubule stabilization at kinetochores; CLASP-interacting mitotic regulator","CLASP1, CLASP2, microtubules","kinetochore, cytoplasm","ubiquitous","NA","chromosome segregation, mitosis, microtubule dynamics","NA","NA","NA","NA","ovarian cancer, colorectal cancer, breast cancer, hepatocellular carcinoma","oncogenic context (SOGA1 upregulated; METTL16-driven chromosome instability pathway)","NA","NA","Human ortholog SOGA1 interacts with CLASP1/2 at kinetochores during mitosis and plays a role in chromosome segregation and microtubule dynamics."
"A830007P12Rik","other","NA","NA","endoplasmic reticulum, membrane","brain, ubiquitous","neurons, glioma cells","Notch signaling (DNER-dependent), lysosomal cholesterol trafficking","NA","NA","NA","NA","glioma","tumor suppressor context (TOR4A, the human ortholog, mediates DNER-dependent growth inhibition in glioma)","Niemann-Pick type C (NPC) disease proteome alteration","NA","Human ortholog TOR4A (Torsin family 4 member A) is a transmembrane ER protein whose expression is regulated by DNER-Notch signaling in glioma and is altered in Niemann-Pick type C disease fibroblasts."
"Abhd10","enzyme","acyl-protein thioesterase (S-depalmitoylase); drug glucuronide hydrolase","PRDX5 (mitochondrial S-palmitoylation); mycophenolic acid acyl-glucuronide","mitochondrial matrix","testis, liver, ubiquitous","spermatocytes","mitochondrial antioxidant signaling, S-palmitoylation cycle, drug metabolism","male infertility; abnormal spermatogenesis in Abhd10-null mice","moderate","NA","NA","NA","minimal (pan-cancer bioinformatics associations only)","NA","NA","ABHD10 is a mitochondrial matrix serine hydrolase that depalmitoylates PRDX5 to regulate mitochondrial antioxidant capacity; required for normal spermatogenesis in mice."
"Ablim3","scaffold/adaptor","actin-binding scaffold; SRF transcriptional coactivation (via ABRA); cilia biogenesis (actin regulation)","ABRA (actin-binding Rho-activating protein); SRF; F-actin","cytoplasm, cytoskeleton, centrosome","brain, heart, ubiquitous","neurons, dentate granule cells","actin dynamics, SRF/MRTF signaling, ciliogenesis, PKA/cAMP pathway","NA","NA","hippocampal engram cell reactivation reduced (contextual fear memory generalization); implicated in dentate gyrus granule cell function","yes (dentate granule cells; memory encoding)","esophageal adenocarcinoma","upregulated in EAC","NA","NA","ABLIM3 is an actin-binding LIM-domain scaffold that stimulates ABRA-SRF transcriptional activity; expressed in hippocampal dentate granule cells where it may regulate memory encoding and neuronal morphology."
"Acd","scaffold/adaptor","telomere protection; recruits POT1 to single-stranded telomeric DNA; enhances telomerase processivity","POT1, TRF1, TRF2, telomerase","telomere/shelterin complex, nucleus","ubiquitous (adrenal cortex, gonad)","stem cells, germ cells","telomere maintenance, DNA damage response, shelterin complex","adrenocortical dysplasia, hypoplastic gonads, infertility, premature aging in hypomorphic mice","severe","NA","NA","melanoma, interstitial lung disease","germline mutations predispose to melanoma; telomere shortening drives lung fibrosis","telomere syndrome (familial ILD, dyskeratosis congenita spectrum), melanoma predisposition","NA","ACD/TPP1 is a core shelterin complex component that recruits POT1 to single-stranded telomeric DNA and enhances telomerase processivity; germline mutations cause telomere syndromes with cancer predisposition."
"Acsl3","enzyme","fatty acid activation (long-chain acyl-CoA synthetase)","long-chain fatty acids (myristate, laurate, arachidonate); phosphatidylcholine biosynthesis substrates","ER membrane, lipid droplets, mitochondria-associated membranes","liver, brain, ubiquitous","hepatocytes, glioblastoma cells","fatty acid beta-oxidation, lipogenesis, ferroptosis suppression, VLDL assembly","NA","NA","NA","NA","glioblastoma, hepatocellular carcinoma, breast cancer, multiple myeloma, cholangiocarcinoma, prostate cancer","oncogenic (promotes lipid reprogramming, ferroptosis resistance, tumor growth; synthetic lethal with NF2 loss)","NA","NA","ACSL3 activates long-chain fatty acids to acyl-CoA thioesters, fueling anabolic lipogenesis and suppressing ferroptosis; it is broadly oncogenic across multiple cancer types and synthetic lethal with NF2 loss in Schwann cells."
"Acsl4","enzyme","Converts long-chain polyunsaturated fatty acids (especially arachidonate) to acyl-CoA thioesters; generates lipid peroxidation substrates","Arachidonic acid, eicosapentaenoate, EETs; phosphatidylethanolamines","ER, mitochondria, peroxisome","Ubiquitous; high in adrenal, brain, testis","Macrophages, tumor cells, cardiomyocytes, neurons","Ferroptosis; lipid metabolism; arachidonic acid pathway; IFN-gamma signaling","Reduced ferroptosis sensitivity; altered lipid profile; aging-associated senescence in primates","Moderate","Neuronal lipid peroxidation impaired; sensorimotor defects in fatty acid disorders","No direct cerebellar GNP data; expressed in brain","Lung cancer, osteosarcoma, colorectal cancer, breast cancer","Pro-tumorigenic via ferroptosis resistance; IFN-gamma-induced ferroptosis in CD8+ T cell killing","NA","Linked to cellular senescence and aging; role in proliferating cells maintaining lipid homeostasis","ACSL4 activates polyunsaturated fatty acids to drive ferroptosis and lipid peroxidation, supporting cell proliferation via membrane phospholipid remodeling"
"Actn1","structural protein","Cross-links F-actin filaments; anchors actin to intracellular structures; regulates immune synapse formation","F-actin; IGSF8; ITGA5","Cytoskeleton, focal adhesions, cell cortex","Ubiquitous non-muscle; platelets, endothelium","Fibroblasts, epithelial cells, T cells, cancer cells","Actin cytoskeleton organization; EMT; cell migration","Platelet defects; cytoskeletal disorganization","Mild","NA","No direct cerebellar GNP data","Glioblastoma, HNSCC, thyroid carcinoma, hepatocellular carcinoma, oral squamous cell carcinoma","Oncogenic; promotes proliferation, invasion, EMT, mesenchymal transition in GBM","NA","Required for cytoskeletal organization during cell morphology changes in differentiation","Alpha-actinin-1 cross-links actin filaments and drives cancer cell invasion and EMT, especially in mesenchymal tumor subtypes"
"Adcy6","enzyme","Catalyzes ATP to cAMP; mediates G-protein-coupled receptor signaling; activates PKA","ATP; G-protein alpha subunits; beta-adrenergic, vasopressin, PTH1R receptors","Plasma membrane (type III transmembrane adenylate cyclase)","Heart, kidney, vascular smooth muscle, brain, pancreas","Cardiomyocytes, vascular smooth muscle cells, renal tubular cells, cerebellar granule neuron precursors","cAMP-PKA signaling; Hedgehog pathway (negative regulator via PKA); beta-adrenergic signaling","Impaired renal water reabsorption; cardiac dysfunction; altered Hedgehog signaling","Moderate","Hedgehog pathway de-repressed in cerebellar granule neuron precursors when Adcy6 is lost","Directly expressed in CGNPs; AC5/AC6 are the dominant isoforms in CGNPs and negatively regulate Hh via PKA","Oral tongue squamous cell carcinoma, breast cancer, renal cell carcinoma","Tumor suppressive; loss promotes proliferation in some cancers; context-dependent","NA","Downregulates Hedgehog/Gli signaling via PKA in GNPs, suppressing GNP proliferation and promoting differentiation exit","ADCY6 is the primary adenylate cyclase in cerebellar granule neuron precursors that generates cAMP to activate PKA and suppress Hedgehog-driven proliferation"
"Aen","enzyme","Exonuclease with activity on single- and double-stranded DNA/RNA; amplifies DNA damage signals downstream of p53","DNA (ssDNA, dsDNA), RNA","Nucleus","Ubiquitous","Epithelial cells, lymphocytes, neurons","p53-mediated apoptosis; DNA damage response; radiation response","Enhanced p53-mediated apoptosis resistance when absent; altered DNA damage amplification","Moderate","Neural apoptosis impaired after DNA damage","No direct cerebellar GNP data; involved in radiation response in epithelial cells","Colon adenocarcinoma (prognostic marker in immune signature)","Tumor suppressive via p53-mediated apoptosis amplification","Alzheimer's disease (statin response studies)","Promotes apoptotic exit in proliferating cells following DNA damage; p53 effector","AEN is a p53-induced exonuclease that amplifies DNA damage signals to enhance apoptosis, functioning as a genome surveillance effector in proliferating cells"
"Agl","enzyme","Bifunctional glycogen debranching enzyme; catalyzes both glucanotransferase and glucosidase reactions to mobilize glycogen","Glycogen (alpha-1,6-glucosidic bonds); oligo-glucans","Cytoplasm, associated with glycogen particles","Liver, muscle, brain","Hepatocytes, skeletal muscle cells, neurons","Glycogen metabolism; aerobic glycolysis (Warburg effect context)","Glycogen storage disease type III (Cori disease): hepatomegaly, myopathy, hypoglycemia","Severe","Glycogen accumulation in neurons; possible neurological symptoms in Cori disease","No direct cerebellar GNP data","Bladder cancer (glycolysis-related); hepatocellular carcinoma","Metabolic reprogramming in cancer; glycogen mobilization supports Warburg glycolysis","Cori disease (glycogen storage disease type III); neurological complications","Glycogen mobilization supports energy demands of proliferating cells","AGL is the glycogen debranching enzyme essential for glycogen breakdown, and its dysregulation supports Warburg-effect metabolism in rapidly proliferating cancer cells"
"Akap9","scaffold/adaptor","Scaffolds PKA, phosphatases, and other signaling proteins at centrosome and Golgi; required for microtubule nucleation and mitotic spindle integrity","PKA; PDE4DIP; CAMSAP2; EB1; CDK5RAP2; non-centrosomal microtubules","Centrosome, Golgi apparatus, pericentriolar material","Ubiquitous; testes, brain","Sertoli cells, epithelial cells, neurons, cancer cells","PKA anchoring; centrosome function; Golgi maintenance; mitotic spindle assembly; microtubule organization","Male infertility (Sertoli cell maturation failure); impaired microtubule nucleation; no major somatic phenotype","Moderate (tissue-specific)","Synaptic scaffolding role; links AKAP9 to NMDA receptor via TNiK complex","TNiK/AKAP9 complex links NMDA receptor to AMPA synaptic function; relevant to schizophrenia models","Gastric cancer, esophageal cancer, AML, melanoma (AKAP9-BRAF fusion in Spitz tumors)","Frequently mutated in various cancers; oncogenic fusion (AKAP9-BRAF); promotes metastasis","Schizophrenia; cognitive dysfunction","Required for centrosome integrity during mitotic spindle assembly in proliferating cells","AKAP9 scaffolds PKA and microtubule regulators at the centrosome/Golgi to ensure proper mitotic spindle formation and cell division"
"Akirin2","scaffold/adaptor","Bridges NF-kB inhibitor NFKBIZ with SWI/SNF chromatin remodeling complex; mediates nuclear import of proteasomes via IPO9; regulates transcription at gene enhancers","NFKBIZ; SWI/SNF complex; 20S proteasome; IPO9; transcription factors","Nucleus","Ubiquitous; high in immune cells, brain, muscle","Macrophages, B cells, neural progenitors, myoblasts, excitatory cortical neurons","NF-kB signaling; SWI/SNF chromatin remodeling; nuclear protein degradation; innate and adaptive immunity; myogenesis","Embryonic lethal (Akirin2 knockout); cortical malformation; microcephaly/lissencephaly; myogenesis failure; immune defects","Severe","Cortical progenitor cell cycle disruption; microcephaly; excessive apoptosis; impaired neuronal migration","Required for embryonic cerebral cortex formation; maintains healthy cortical neurons post-birth","Cholangiocarcinoma, hepatocellular carcinoma (via 14-3-3beta complex); multiple cancers","Oncogenic in some contexts (cholangiocarcinoma, HCC); 14-3-3beta/Akirin2 promotes tumorigenicity","Neurodevelopmental disorders (microcephaly, lissencephaly)","Required for neural progenitor proliferation and cortical development; promotes myoblast proliferation and differentiation","Akirin2 bridges NF-kB and SWI/SNF to regulate chromatin-dependent transcription, and is essential for neural progenitor proliferation and brain development"
"Alg13","enzyme","UDP-GlcNAc transferase; catalyzes second step of dolichol-linked oligosaccharide assembly (N-glycosylation precursor pathway)","UDP-GlcNAc; GlcNAc-pyrophosphatedolichol (Gn-PDol); forms complex with ALG14","ER membrane (cytoplasmic face)","Ubiquitous","All proliferating cells; neurons; hepatocytes","N-linked glycosylation; dolichol-linked oligosaccharide biosynthesis; ER function","X-linked congenital disorder of glycosylation (ALG13-CDG): developmental delay, intellectual disability, epilepsy, infantile spasms","Severe (neurological)","Epileptic encephalopathy; developmental delay; cortical organoid network disruption","ALG13-CDG causes early infantile epileptic encephalopathy (EIEE36); hippocampal cognitive defects in mouse","Renal cell carcinoma (bioinformatics datasets)","Limited direct cancer data; N-glycosylation essential for proliferating cell surface receptors","ALG13-CDG (EIEE36); congenital disorder of glycosylation","N-glycosylation is required for proper protein folding and receptor function during cell proliferation","ALG13 is the X-linked UDP-GlcNAc transferase catalyzing a key N-glycosylation step, and loss causes a severe epileptic encephalopathy"
"Amacr","enzyme","Interconverts R- and S-stereoisomers of alpha-methyl-branched-chain fatty acyl-CoA esters; acts on bile acid intermediates and branched-chain fatty acids","Pristanoyl-CoA; trihydroxycoprostanoyl-CoA; arylpropionic acids (ibuprofen); CoA thioesters","Peroxisome, mitochondria","Liver, prostate, brain (glioblastoma)","Hepatocytes, prostate epithelium, neurons, glial cells","Bile acid synthesis; branched-chain fatty acid beta-oxidation; peroxisomal lipid metabolism","AMACR deficiency: accumulation of C27-bile acid intermediates, pristanic/phytanic acid; sensorimotor neuropathy, seizures, encephalopathy (humans); asymptomatic in mice on standard diet","Moderate (humans); mild (mice)","Sensorimotor neuropathy, seizures, relapsing encephalopathy in AMACR-deficient patients","No direct cerebellar GNP data; expressed in brain; role in glioblastoma proliferation","Prostate cancer (established biomarker/P504S), bladder cancer, renal cell carcinoma, Barrett esophagus, glioblastoma","Oncogenic; highly overexpressed in prostate and GBM; AMACR knockdown inhibits GBM cell proliferation","AMACR deficiency: neuropathy, seizures, encephalopathy","Supports lipid metabolic flux required for proliferating cancer cells","AMACR is a peroxisomal racemase critical for branched-chain fatty acid oxidation, widely overexpressed as a diagnostic cancer biomarker and required for GBM proliferation"
"Ambra1","ubiquitin ligase","Substrate-recognition subunit of CRL4(AMBRA1) E3 ubiquitin ligase; ubiquitinates phospho-cyclin D (CCND1/2/3), BECN1, ULK1, ELOC for proteasomal degradation; master regulator of G1-to-S transition","Phospho-cyclin D (CCND1, CCND2, CCND3); BECN1; ULK1; ELOC","Cytoplasm, ER, autophagosome membrane","Ubiquitous; brain, heart, retina","Neural progenitors, cardiomyocytes, epithelial cells, cancer cells","G1/S cell cycle checkpoint; cyclin D degradation; autophagy (Beclin-1 regulation); MYC pathway; DNA replication integrity","Embryonic lethal (full KO); neural tube defects; exencephaly; impaired autophagy; accumulated cyclin D; genomic instability","Severe","Exencephaly; brain overgrowth due to cyclin D accumulation; neural tube defects; neurodevelopmental disorders of autophagy","Direct relevance to brain: Ambra1 loss causes brain malformation; autophagy-related neurodevelopmental syndromes","Multiple (broadly); driven by cyclin D overaccumulation","Tumor suppressive; loss leads to cyclin D accumulation and uncontrolled S-phase entry; promotes genomic instability","Neurodevelopmental disorders of autophagy; neurodegeneration (Alzheimer's, Parkinson's via Beclin-1)","Degrades cyclin D to terminate G1 and prevent aberrant S-phase re-entry; essential tumor suppressor in proliferating progenitors","AMBRA1 is the CRL4 ubiquitin ligase adaptor that degrades D-type cyclins to enforce the G1/S checkpoint, functioning as a critical tumor suppressor in proliferating neural progenitors"
"Amd1","enzyme","Decarboxylates S-adenosylmethionine (SAM) to produce decarboxylated SAM (dcSAM), a key aminopropyl donor for spermidine and spermine biosynthesis","S-adenosylmethionine (SAM)","Cytoplasm","Ubiquitous; high in rapidly proliferating tissues","Cancer cells, stem cells, wound-healing keratinocytes, hepatocytes","Polyamine biosynthesis; mTORC1/PTEN-PI3K axis regulation of polyamines; oncogenic metabolism","Embryonic lethal (Amd1 KO in mice); impaired polyamine synthesis","Severe","NA (embryonic lethal before neural tissue examined)","No direct cerebellar GNP data; polyamines critical for DNA stability in all proliferating cells","Prostate cancer, hepatocellular carcinoma, breast cancer (especially basal-like), lung cancer, melanoma","Oncogenic; AMD1 overexpression drives proliferation; mTORC1 promotes AMD1 activity in cancer","NA","AMD1 activity supports stem cell self-renewal and early progenitor proliferation via polyamine production","AMD1 catalyzes the rate-limiting step in spermidine/spermine synthesis, and its overexpression drives cancer cell proliferation via polyamine-dependent DNA stabilization"
"Amd2","enzyme","Decarboxylates S-adenosylmethionine (SAM) to produce dcSAM for spermidine and spermine biosynthesis; promotes ESC self-renewal via spermine","S-adenosylmethionine (SAM)","Cytoplasm","Ubiquitous; high in embryonic tissues and stem cells","Embryonic stem cells, rapidly proliferating cells","Polyamine biosynthesis; stem cell self-renewal; mTORC1-polyamine axis","Impaired stem cell self-renewal; embryonic developmental defects","Moderate-Severe","NA","No direct cerebellar GNP data; spermine essential for chromatin stability in neural progenitors","Lung cancer, prostate cancer, hepatocellular carcinoma, breast cancer (overlapping literature with AMD1)","Oncogenic (overlapping function with AMD1); supports proliferation via spermine synthesis","NA","Maintains self-renewal of stem/progenitor cells via spermine; supports rapid cell division during early proliferative phases","AMD2 is a paralog of AMD1 that generates dcSAM for polyamine synthesis, maintaining stem cell self-renewal and supporting rapid proliferation of neural progenitors"
"Anln","structural protein","Scaffolds RhoA, myosin, and actin to form the contractile ring; essential for cleavage furrow ingression and cytokinesis completion; also interacts with RNA Pol II in nucleus to promote transcriptional condensates","F-actin; RhoA; myosin; CD2AP; septins; RNA Pol II","Cytoplasm (cleavage furrow, cell cortex), nucleus","Ubiquitous; high in proliferating tissues","Epithelial cells, cancer cells, podocytes, fibroblasts","Cytokinesis; actomyosin contractile ring; RhoA signaling; YAP/TAZ signaling; transcriptional regulation (nuclear ANLN)","Cytokinesis failure; multinucleation; cell cycle arrest","Severe (cell division)","NA","No direct cerebellar GNP data; essential for any mitotically active cell","Esophageal SCC, hepatocellular carcinoma, nasopharyngeal carcinoma, oral SCC, breast cancer, lung cancer","Oncogenic; ANLN overexpression promotes cytokinesis, proliferation, and nuclear Pol II-mediated transcription in cancers","NA","Highly expressed during GNP proliferative phase (P0-P7); expression lost upon differentiation","Anillin is a cytokinesis scaffold required for contractile ring formation that is highly expressed in proliferating GNPs and downregulated upon differentiation"
"Aoc2","enzyme","Oxidative deamination of primary amines (phenylethylamine, tryptamine, tyramine) producing aldehydes, H2O2, and ammonia","Phenylethylamine, tryptamine, tyramine, methylamine","Extracellular (secreted/membrane-associated); retina","Retina (retina-specific expression)","Retinal cells","Amine oxidase activity; copper-dependent oxidation; polyamine catabolism (indirect)","NA (mouse KO not well characterized for Aoc2 specifically)","Unknown","Retinal function potentially impaired","Retina-specific expression; minimal cerebellar GNP data","Colorectal cancer (prognostic signature), glioma (bioinformatics)","Minimal direct evidence; amine catabolism linked to tumor biology","Ischemic stroke (expression changes in peripheral blood)","Minimal direct evidence in proliferation/differentiation","AOC2 is a retina-specific copper-containing amine oxidase that oxidizes trace amines, with very limited known roles in GNP proliferation or cerebellar biology"
"Apba3","scaffold/adaptor","Inhibits FIH-1 (factor inhibiting HIF-1), enabling HIF-1alpha transactivation during normoxia; links MT1-MMP cytoplasmic tail to HIF-1 activation; modulates APP processing","HIF-1alpha; HIF1AN (FIH-1); MT1-MMP cytoplasmic tail; APP (amyloid precursor protein)","Cytoplasm, Golgi, vesicular membranes","Brain (choroid plexus, neurons), macrophages, breast tissue","Macrophages, monocytes, neurons, cancer cells","HIF-1 signaling (normoxic activation); glycolysis (Warburg in macrophages); APP processing; Alzheimer's pathways","NA (mouse KO not well characterized)","Unknown","Choroid plexus dysfunction in Alzheimer's disease","Choroid plexus and neuronal expression; implicated in Alzheimer's disease CSF clearance","Breast cancer, colon cancer, lung cancer (macrophage-tumor interactions)","Pro-tumorigenic via HIF-1-driven macrophage glycolysis and tumor invasion support","Alzheimer's disease; borderline personality disorder (epigenetic dysregulation); premature ovarian failure","Minimal direct role in proliferating progenitors; involved in metabolic adaptation","APBA3/Mint3 activates HIF-1 during normoxia by inhibiting FIH-1, sustaining glycolysis in macrophages and promoting tumor progression"
"Apbb2","scaffold/adaptor","Activates APP transcription; regulates APP processing and Abeta generation; involved in neuromuscular junction formation; modulates cell cycle in post-mitotic neurons","APP; FE65 family proteins; lens proteins","Nucleus, cytoplasm","Brain (hippocampus), lens, muscle","Neurons, hippocampal cells, lens epithelium, myocytes","APP processing; Alzheimer's amyloid cascade; cell cycle regulation in neurons; spatial memory","Hippocampal neurite branching defects; reduced spatial memory; impaired neuromuscular junction; lens opacity","Moderate","Impaired hippocampal neurite branching; spatial memory deficits; altered cell cycle in post-mitotic neurons","Hippocampal expression; role in neuromuscular junction; limited cerebellar GNP data","Gastric adenocarcinoma, lung squamous cell carcinoma","Tumor suppressive context in gastric cancer (miRNA target); limited evidence","Alzheimer's disease; temporal lobe epilepsy","Modulates cell cycle re-entry in post-mitotic neurons; involved in neuronal differentiation maintenance","APBB2 is an APP-binding adaptor that regulates amyloid precursor processing and neuronal cell cycle control, with roles in hippocampal differentiation and spatial memory"
